DATASET = ORTEC Test Set
NAME = Instance 09

DAY = 1
1	R	0	455	0
2	R	0	223	0
3	R	0	952	0
4	R	0	78	0
5	R	0	973	0
6	R	0	532	0
7	R	0	407	0
8	R	0	264	0
9	R	0	44	0
10	R	0	862	0
11	R	0	517	0
12	R	0	415	0
13	R	0	434	0
14	R	0	621	0
15	R	0	637	0
16	R	0	550	0
17	R	0	663	0
18	R	0	442	0
19	R	0	420	0
20	R	0	626	0
21	R	0	340	0
22	R	0	189	0
23	R	0	599	0
24	R	0	593	0
25	R	0	518	0
26	R	0	909	0
27	R	0	184	0
28	R	0	702	0
29	R	0	755	0
30	R	0	810	0
31	R	0	590	0
32	R	0	266	0
33	R	0	213	0
34	R	0	70	0
35	R	0	307	0
36	R	0	500	0
37	R	0	748	0
38	R	0	535	0
39	R	0	80	0
40	R	0	782	0
41	R	0	447	0
42	R	0	725	0
43	R	0	251	0
44	R	0	638	0

DAY = 2
1	R	0	402	0
2	R	0	14	0
3	R	0	935	0
4	R	0	-447	0
5	R	0	691	0
6	R	0	261	0
7	R	0	168	0
8	R	0	-420	0
9	R	0	348	0
10	R	0	71	0
11	R	0	-663	0
12	R	0	969	0
13	R	0	964	0
14	R	0	283	0
15	R	0	786	0
16	R	0	-535	0
17	R	0	385	0
18	R	0	469	0
19	R	0	524	0
20	R	0	480	0
21	R	0	372	0
22	R	0	511	0
23	R	0	-638	0
24	R	0	534	0
25	R	0	645	0
26	R	0	169	0
27	R	0	-70	0
28	R	0	-550	0
29	R	0	752	0
30	R	0	643	0
31	R	0	397	0
32	R	0	-189	0
33	R	0	383	0
34	R	0	805	0
35	R	0	660	0
36	R	0	149	0
37	R	0	899	0
38	R	0	576	0
39	R	0	-748	0
40	R	0	476	0
41	R	0	-455	0
42	R	0	625	0
43	R	0	-590	0
44	R	0	-223	0
45	R	0	443	0
46	R	0	-44	0
47	R	0	-637	0
48	R	0	373	0
49	R	0	-307	0
50	R	0	300	0
51	R	0	-862	0
52	R	0	40	0
53	R	0	-415	0

DAY = 3
1	R	0	-184	0
2	R	0	954	0
3	R	0	475	0
4	R	0	27	0
5	R	0	860	0
6	R	0	602	0
7	R	0	96	0
8	R	0	-755	0
9	R	0	-660	0
10	R	0	-702	0
11	R	0	-725	0
12	R	0	932	0
13	R	0	287	0
14	R	0	83	0
15	R	0	121	0
16	R	0	293	0
17	R	0	597	0
18	R	0	-973	0
19	R	0	604	0
20	R	0	-14	0
21	R	0	43	0
22	R	0	-576	0
23	R	0	358	0
24	R	0	-443	0
25	R	0	-621	0
26	R	0	522	0
27	R	0	-599	0
28	R	0	158	0
29	R	0	-532	0
